dateTime,value
2017-10-03,8027
2017-10-04,12569
2017-10-05,7920
2017-10-06,12261
2017-10-07,16338
2017-10-08,3573
2017-10-09,11837
2017-10-10,4109
2017-10-11,1290
2017-10-12,1480
2017-10-13,17325
2017-10-14,2006
2017-10-15,1430
2017-10-16,5787
2017-10-17,3726
2017-10-18,7317
2017-10-19,27031
2017-10-20,7337
2017-10-21,2437
2017-10-22,6798
2017-10-23,9230
2017-10-24,4391
2017-10-25,9963
2017-10-26,13648
2017-10-27,7517
2017-10-28,2828
2017-10-29,5796
2017-10-30,9968
2017-10-31,9442
2017-11-01,13034
2017-11-02,11414
2017-11-03,7440
2017-11-04,4963
2017-11-05,5430
2017-11-06,15973
2017-11-07,10077
2017-11-08,9250
2017-11-09,7378
2017-11-10,12281
2017-11-11,11389
2017-11-12,1935
2017-11-13,11811
2017-11-14,15197
2017-11-15,12269
2017-11-16,9932
2017-11-17,10181
2017-11-18,7401
2017-11-19,5709
2017-11-20,6769
2017-11-21,9377
2017-11-22,7379
2017-11-23,5228
2017-11-24,8400
2017-11-25,8174
2017-11-26,4449
2017-11-27,5619
2017-11-28,12304
2017-11-29,11758
2017-11-30,1667
2017-12-01,7418
2017-12-02,8102
2017-12-03,3236
2017-12-04,14515
2017-12-05,4244
2017-12-06,1718
2017-12-07,6264
2017-12-08,5098
2017-12-09,797
2017-12-10,3146
2017-12-11,2520
2017-12-12,3262
2017-12-13,2949
2017-12-14,7243
2017-12-15,6118
2017-12-16,1120
2017-12-17,4153
2017-12-18,11203
2017-12-19,3329
2017-12-20,5037
2017-12-21,745
2017-12-22,4510
2017-12-23,1491
2017-12-24,1694
2017-12-25,4211
2017-12-26,2795
2017-12-27,2593
2017-12-28,898
2017-12-29,1412
2017-12-30,665
2017-12-31,5203
2018-01-01,1218
2018-01-02,2586
2018-01-03,2317
2018-01-04,938
2018-01-05,1653
2018-01-06,3006
2018-01-07,5748
2018-01-08,3891
2018-01-09,6271
2018-01-10,1173
2018-01-11,1570
2018-01-12,3771
2018-01-13,3974
2018-01-14,2030
2018-01-15,7742
2018-01-16,8730
2018-01-17,2598
2018-01-18,5392
2018-01-19,4457
2018-01-20,795
2018-01-21,3028
2018-01-22,7223
2018-01-23,6703
2018-01-24,1786
2018-01-25,4411
2018-01-26,4832
2018-01-27,3748
2018-01-28,2749
2018-01-29,7165
2018-01-30,6974
2018-01-31,857
2018-02-01,8575
2018-02-02,931
2018-02-03,2229
2018-02-04,2819
2018-02-05,7009
2018-02-06,10422
2018-02-07,3809
